做包, tso3-pu5, 一起, k10, 汕頭話讀本
做合同, tso3-hap8-tang5, 做合同, k10, 汕頭話讀本
做工, tso3-kang1, 做工, k10, 汕頭話讀本
做成, tso3-chiann5, 做成, k10, 汕頭話讀本
做書, tso3-tsur1, 著書, k10, 汕頭話讀本
做桌, tso3-toh4, 做桌, k10, 汕頭話讀本
做節, tso3-tsoih4, 過節, k10, 汕頭話讀本
做線, tso3-suann3, 監視, k10, 汕頭話讀本
做衫褲, tso3-sann1-khou3, 做衣服, k10, 汕頭話讀本
做親, tso3-chhin1, 結親, k10, 汕頭話讀本
做賊, tso3-tshat8, 做賊, k10, 汕頭話讀本
做頭, tso3-thau5, 做老大, k10, 汕頭話讀本
做飽戲, tso3-pa2-hi3, 做把戲, k10, 汕頭話讀本
偶然, ngou2-jien5, 偶然, k10, 汕頭話讀本
偷使錢, thau1-sai2-chinn5, 偷花錢, k10, 汕頭話讀本
偷挈, thau1-khieh8, 偷拿, k10, 汕頭話讀本
偷探, thau1-tham3, 監視, k10, 汕頭話讀本
偷睇, thau1-thoinn2, 偷看, k10, 汕頭話讀本
偷睒, thau1-iam2, 偷看, k10, 汕頭話讀本
催拚, tshui1-piann3, 催促, k10, 汕頭話讀本
催緊, tshui1-kin2, 催促, k10, 汕頭話讀本
催迫, tshui1-pek4, 催討, k00, 汕頭話讀本
傳道理, thuan5-to6-li2, 傳教, k10, 汕頭話讀本
傳道理的儂, thuan5-to6-li2--kai5-nang5, 傳教士, k10, 汕頭話讀本
債主, che3-tsu2, 債權人, k00, 汕頭話讀本
傷儂, sienn1-nang5, 傷人, k10, 汕頭話讀本
傷口, sienn1-khau2, 傷口, k10, 汕頭話讀本
傷痕, sienn1-hun5, 傷疤, k00, 汕頭話讀本
傷着, sienn1--tieh8, 傷着, k10, 汕頭話讀本
傷風, sienn1-huang1, 感冒, k00, 汕頭話讀本
僥心, hiou1-sim1, 壞心腸, k10, 汕頭話讀本
價錢, ke3-chinn5, 價格, k00, 汕頭話讀本
儂客, nang5-kheh4, 客人, k10, 汕頭話讀本
儂情, nang5-chheng5, 人情, k10, 汕頭話讀本
元帥, nguan5-sue3, 元帥, k10, 汕頭話讀本
兄弟, hiann1-ti6, 兄弟, k10, 汕頭話讀本
兄弟囝, hiann1-ti6-kiann2, 兄弟, k10, 汕頭話讀本
充公, tshong1-kong1, 充公, k10, 汕頭話讀本
充軍, tshong1-kun1, 充軍, k10, 汕頭話讀本
先生, sin1-senn1, 醫生, k00, 汕頭話讀本
先祖, soinn1-tsou2, 先祖, k10, 汕頭話讀本
光通, kng1-thang3, 透明, k10, 汕頭話讀本
免用, min2-eng7, 不用, k10, 汕頭話讀本
兒婿, ji5-sai3, 兒婿, k10, 汕頭話讀本
兜囝, tau1-kiann2, 兒子, k10, 汕頭話讀本
兜孫, tau1-sun1, 孫子, k10, 汕頭話讀本
入來, jip8--lai2, 進來, k10, 汕頭話讀本
入口貨, jip8-khau2-hue3, 進口商品, k00, 汕頭話讀本
入呈, jip8-tiann5, 入呈, k10, 汕頭話讀本
入奉教, tshap4-hong5-ka3, 入奉教, k10, 汕頭話讀本
入教, jip8-ka3, 入教, k10, 汕頭話讀本
入會, jip8-hue6, 入會, k10, 汕頭話讀本
入禀, jip8-pin2, 入禀, k10, 汕頭話讀本
入秀才, jip8-siu3-tsai5, 入秀才, k10, 汕頭話讀本
內地, lai6-ti1, 內地, k10, 汕頭話讀本
內孫, lai6-sun1, 內孫, k10, 汕頭話讀本
內爿, lai6-poinn5, 裏面, k10, 汕頭話讀本
內走孫, lai6-tsau2-sun1, 內孫女, k10, 汕頭話讀本
全愈, tshuan5-zu2, 全愈, k10, 汕頭話讀本
全權, tshuan5-khuan5, 全權, k10, 汕頭話讀本
兩個, nonn6-kai5, 兩個, k10, 汕頭話讀本
兩箍半, nonn6-khou1-puann3, 兩箍半, k10, 汕頭話讀本
公主, kong1-tsu2, 公主, k10, 汕頭話讀本
公事, kong1-sur7, 公事, k10, 汕頭話讀本
公司, kong1-si1, 公司, k10, 汕頭話讀本
公司山, kong1-si1-suann1, 公墓, k10, 汕頭話讀本
公堂, kong1-tng5, 公堂, k10, 汕頭話讀本
公眾, kong1-cheng3, 公眾, k10, 汕頭話讀本
公親, kong1-chhin1, 公斷人, k00, 汕頭話讀本
公道, kong1-tau6, 公道, k10, 汕頭話讀本
六斤四, lak8-kurn1-si1, 六斤四, k10, 汕頭話讀本
六部, lak8-pou6, 六部, k10, 汕頭話讀本
其實, khi2-sit8, 其實, k10, 汕頭話讀本
其餘, khi5-ur5, 其餘, k10, 汕頭話讀本
典主, toinn2-tsu2, 抵押人, k20, 汕頭話讀本
典契, toinn2-khoi3, 抵押契據, k20, 汕頭話讀本
冇柴, phann3-tsha5, 輕木, k10, 汕頭話讀本
冊架, chheh4-ke3, 書架, k10, 汕頭話讀本
冊櫥, chheh4-tu5, 書櫥, k10, 汕頭話讀本
冊皮, chheh4-phue5, 書籍封面, k10, 汕頭話讀本
冊魚, chheh4-hur5, 書蟲, k20, 汕頭話讀本, 本老冊內底有~
冤仇, uan1-chhiu5, 冤仇, k10, 汕頭話讀本
冤家, uan1-ke1, 冤家, k10, 汕頭話讀本
冬瓜, tang1-kue1, 冬瓜, k10, 汕頭話讀本
冬瓜露, tang1-kue1-lou7, 冬瓜露, k10, 汕頭話讀本
冬至, tang1-chi3, 冬至, k10, 汕頭話讀本
冰糖, piann1-thng5, 冰糖, k10, 汕頭話讀本
冰霜, piann1-sng1, 冰霜, k10, 汕頭話讀本
凄凉, chhi1-liang5, 凄凉, k10, 汕頭話讀本
凊彩, chhin3-tshai2, 隨便, k00, 汕頭話讀本
凜凜, lim2-lim2, 凜凜, k10, 汕頭話讀本
凝凍, kurn5-tang3, 凝結, k10, 汕頭話讀本
凸疕, phok4-phi2, 結痂, k10, 汕頭話讀本
出世, tshut4-si3, 出世, k10, 汕頭話讀本
出力, tshut4-lat8, 出力, k10, 汕頭話讀本
出去, tshut4--khur3, 出去, k10, 汕頭話讀本
出口貨, tshut4-khau2-hue3, 出口商品, k00, 汕頭話讀本
出名, tshut4-miann5, 出名, k10, 汕頭話讀本
出外儂, tshut4-gua7-nang5, 陌生人, k00, 汕頭話讀本
出字白, tshut4-ji7-peh8, 登佈告, k10, 汕頭話讀本
出山, tshut4-suann1, 出山, k10, 汕頭話讀本
出所費, tshut4-so2-hui3, 出費用, k10, 汕頭話讀本
出珠, tshut4-tsu1, 天花, k10, 汕頭話讀本
出痘, tshut4-tau7, 水痘, k10, 汕頭話讀本
出票, tshut4-phie3, 出票, k10, 汕頭話讀本
出簽, tshut4-chhiam1, 出簽, k10, 汕頭話讀本
出貨, tshut4-hue3, 出貨, k10, 汕頭話讀本
出門, tshut4-mng1, 出門, k10, 汕頭話讀本
刀囝, to1-kiann2, 刀子, k10, 汕頭話讀本
刀架, to1-ke3, 刀架, k10, 汕頭話讀本
刀殼, to1-khah4, 刀鞘, k00, 汕頭話讀本
刀肉, to1-nek8, 刀背, k10, 汕頭話讀本
刁鑽, tiou6-tsuan1, 刁鑽, k10, 汕頭話讀本
分別, hun1-piet8, 分別, k10, 汕頭話讀本
分我睇, pun1-ua2-thoinn2, 給我看, k10, 汕頭話讀本
分明, hun1-meng5, 分明, k10, 汕頭話讀本
分開, pun1-khui1, 分開, k10, 汕頭話讀本
切切, chhiet4-chhiet4, 切記, k10, 汕頭話讀本
切要, chhiet4-iou3, 切要, k10, 汕頭話讀本
初一, chhiu1-it4, 初一, k10, 汕頭話讀本
初三, chhiu1-sann1, 初三, k10, 汕頭話讀本
初二, chhiu1-ji7, 初二, k10, 汕頭話讀本
初頭下, tsho1-thau5-e7, 初次, k10, 汕頭話讀本
刣儂, thai5-nang5, 殺人, k10, 汕頭話讀本
刣牛, thai5-gu5, 殺牛, k10, 汕頭話讀本
刣羸, thai5-iann5, 戰羸, k10, 汕頭話讀本
刣豬, thai5-tur1, 殺豬, k10, 汕頭話讀本
刣輸, thai5-su1, 戰敗, k10, 汕頭話讀本
利錢, lai7-chinn5, 利益, k00, 汕頭話讀本
刷灰水, sueh4-hue1-tsui2, 粉刷, k10, 汕頭話讀本
刺殼, chhi5-khak4, 鰣魚, k10, 汕頭話讀本
刺花, chhiah4-hue1, 繡花, k10, 汕頭話讀本
刺藍帕, chhi3-nann3-phe3, 刺藍帕, k10, 汕頭話讀本
刻苦, khat4-khou2, 刻苦, k10, 汕頭話讀本
刻苦忍, khat4-khou2-lun2, 刻苦忍耐, k10, 汕頭話讀本
刻苦耐, khat4-khou2-nainn6, 刻苦忍耐, k10, 汕頭話讀本
剃刀, thi3-to1, 剃鬚刀, k00, 汕頭話讀本
剃頭, thi3-thau5, 理髮, k00, 汕頭話讀本
剃頭囝, thi3-thau5-kiann2, 理髮, k10, 汕頭話讀本
剃鬚, khoi1-chhiu1, 剃鬚, k10, 汕頭話讀本
則例, chek4-li7, 則例, k10, 汕頭話讀本
剌空, tshng3-khang1, 鑽孔, k10, 汕頭話讀本
前後, tsoinn5-au6, 前後, k10, 汕頭話讀本
前齒, tsoinn5-khi2, 門牙, k00, 汕頭話讀本
剝皮, pak4-phue5, 剝皮, k10, 汕頭話讀本
剝糕粿, pak4-ko1-kue2, 打劫, k10, 汕頭話讀本
割工錢, kuah4 kang1-chinn1, 扣工資, k10, 汕頭話讀本
割牛肉, kuah4-gu5-bah4, 割牛肉, k10, 汕頭話讀本
割花, kuah4-hue1, 雕花, k10, 汕頭話讀本
割豬肉, kuah4-tur1-bah4, 割豬肉, k10, 汕頭話讀本
創營, tshang3-iann5, 露營, k10, 汕頭話讀本
創過, tshang3-kue3, 侵佔, k10, 汕頭話讀本
劃花號, ueh8-hue1-ho7, 簽名, k10, 汕頭話讀本
劃襊, ueh8-tsue7, 劃線, k10, 汕頭話讀本
劈頭, phoh4-thau5, 斬頭, k10, 汕頭話讀本
功恩, kong1-urn1, 恩情, k10, 汕頭話讀本
勇將, iong2-chiang3, 勇將, k10, 汕頭話讀本
勉強, mien2-kiang2, 勉強, k10, 汕頭話讀本
勒索, lek8-sok4, 勒索, k10, 汕頭話讀本
勞汝, lau5--lur2, 有勞你, k10, 汕頭話讀本
勢頭, si3-thau5, 勢力, k00, 汕頭話讀本
勸戒, khng3-koi3, 勸戒, k10, 汕頭話讀本
勿亂食, mainn3-theng3-chiah8, 不要亂吃, k10, 汕頭話讀本
勿哭, mainn3-khau3, 不要哭, k10, 汕頭話讀本
勿笑, mainn3-chhie3, 不要笑, k10, 汕頭話讀本
勿算, mainn3-sng3, 不要計較, k10, 汕頭話讀本
包裹, pan1-ko2, 包裹, k10, 汕頭話讀本
包領, pau1-niann2, 包管, k10, 汕頭話讀本
北爿, pak4-poinn5, 北邊, k10, 汕頭話讀本
匹配, phit4-phue3, 匹配, k10, 汕頭話讀本
十一, tsap21-it4, 十一, k10, 汕頭話讀本
十二, tsap8-ji7, 十二, k10, 汕頭話讀本
十字架, tsap8-ji7-ke3, 十字架, k10, 汕頭話讀本
十戒, tsap8-kai3, 十戒, k10, 汕頭話讀本
千里鏡, tshoinn1-li2-kiann3, 望遠鏡, k10, 汕頭話讀本
升旗, seng1-ki5, 升旗, k10, 汕頭話讀本
半夜|半暝, puann3-menn5, 半夜, k00, 汕頭話讀本
半天, puann3-thinn1, 半天, k10, 汕頭話讀本
半燒, la7-lun5-sie1, 半熱, k10, 汕頭話讀本
卑麻油, pi1-muann5-iu5, 卑麻油, k10, 汕頭話讀本
南爿, nam5-poinn5, 南邊, k10, 汕頭話讀本
印板, in3-poinn2, 印板, k10, 汕頭話讀本
印色, in3-sek4, 印色, k10, 汕頭話讀本
危皮, ngui5-phue5, 木頭人, k10, 汕頭話讀本
卵仁, nng6-jin5, 蛋黃, k00, 汕頭話讀本
卵核, lan6-hut8, 睪丸, k00, 汕頭話讀本
卵淸, nng6-chheng1, 蛋白, k00, 汕頭話讀本
卵脬, lan6-pha1, 膀胱, k10, 汕頭話讀本
厘秤, li5-chhin3, 厘秤, k10, 汕頭話讀本
厚劃, kau7-ueh8, 厚劃, k10, 汕頭話讀本
厝主, tshu3-tsu2, 房東, k00, 汕頭話讀本
厝囝, tshu3-kiann2, 小房子, k10, 汕頭話讀本
厝圖, tshu3-tou5, 建築設計圖, k10, 汕頭話讀本
厝局, tshu3-kek8, 建築設計圖, k10, 汕頭話讀本
厝瓦, tshu3-hia6, 房瓦, k10, 汕頭話讀本
厝稅, tshu1-sue3, 房租, k00, 汕頭話讀本
厝邊, tshu3-pinn1, 鄰居, k10, 汕頭話讀本
厝頂, tshu3-teng2, 房頂, k00, 汕頭話讀本
原來, nguan5-lai5, 原來, k10, 汕頭話讀本
原價, nguan5-ke3, 原價, k10, 汕頭話讀本
原告, nguan5-ko3, 原告, k10, 汕頭話讀本
原根, nguan5-kurn1, 根本, k10, 汕頭話讀本
厲害, li6-hai7, 厲害, k10, 汕頭話讀本
去厝, khur3-tshu3, 回家, k10, 汕頭話讀本
去哪, khur3--no7, 去吧, k10, 汕頭話讀本
去職, khur3-cheh4, 離職, k10, 汕頭話讀本
參詳, tsham1-siang5, 參詳, k10, 汕頭話讀本
反輪轉, poinn2-lin3-tng2, 反轉, k10, 汕頭話讀本
反轉, huan2-tng2, 反轉, k10, 汕頭話讀本
受苦, siu6-khou2, 受苦, k10, 汕頭話讀本
受賄, siu6-iu6, 受賄, k00, 汕頭話讀本
叛反, puan6-huan2, 反叛, k10, 汕頭話讀本
叛逆, puan6-ngek8, 叛逆, k10, 汕頭話讀本
口供, khau2-keng1, 口供, k10, 汕頭話讀本
古事, kou2-sur7, 歷史, k10, 汕頭話讀本
古傳, kou2-tng7, 傳說, k10, 汕頭話讀本
古儂, kou2-nang2, 古人, k10, 汕頭話讀本
古怪, ku1-kuai3, 古怪, k10, 汕頭話讀本
古早, kou2-tsa2, 古昔, k10, 汕頭話讀本
可惜, kho2-sieh4, 可惜, k10, 汕頭話讀本
可惡, kho2-u3, 可惡, k10, 汕頭話讀本
可憐, kho2-lien5, 可憐, k10, 汕頭話讀本
可比, kho2-pi2, 可比, k10, 汕頭話讀本
可痛, kho2-thiann3, 可痛, k10, 汕頭話讀本
司公, sai1-kong1, 道士, k10, 汕頭話讀本
司阜, sai1-pe6, 師傅, k00, 汕頭話讀本
各儂, kak4-nang5, 各人, k10, 汕頭話讀本
各樣, koh4-ienn7, 各樣, k10, 汕頭話讀本
合同, hap8-tang5, 合同, k10, 汕頭話讀本
合摩, hah8-bua5, 合入, k10, 汕頭話讀本
合約, hap8-ieh4, 合約, k10, 汕頭話讀本
合約, hap8-tang2, 合約, k10, 汕頭話讀本
吊桶, tiou3-thang2, 吊桶, k10, 汕頭話讀本
吊瓜, tiou3-kue1, 吊瓜, k10, 汕頭話讀本
吊頷, tiou3-am6, 吊頸, k10, 汕頭話讀本
同字劃, tang2-ji7-ueh8, 族人, k10, 汕頭話讀本
名家, miann5-ke1, 名家, k10, 汕頭話讀本
名聲, miann5-siann1, 名聲, k10, 汕頭話讀本
吐瀉, thou3-sia3, 霍亂, k10, 汕頭話讀本
君子, kun1-tsur2, 君子, k10, 汕頭話讀本
吞落去, kur6--loh8-khur3, 吞下去, k10, 汕頭話讀本
吟詩, ngim5-si1, 吟詩, k10, 汕頭話讀本
呂宋票, lur6-song2-pie1, 呂宋票, k10, 汕頭話讀本
呂宋薰, lur6-song3-hun1, 呂宋菸, k10, 汕頭話讀本
告示, ko3-si7, 告示, k10, 汕頭話讀本
告贏, ko3-iann5, 告贏, k10, 汕頭話讀本
告輸, ko3-su1, 告輸, k10, 汕頭話讀本
告量, kau3-nienn5, 商量, k10, 汕頭話讀本
味素, bi7-sou7, 味道, k00, 汕頭話讀本
呵咾, o1-lo2, 稱讚, k00, 汕頭話讀本
呵欠, huah4-hi3, 哈欠, k00, 汕頭話讀本
命運, miann7-un7, 命運, k10, 汕頭話讀本
呾大話, tann3-tua7-ue7, 說大話, k10, 汕頭話讀本
呾無, tann3-bo5, 否認, k10, 汕頭話讀本
呾知, tann3-tsai1, 告知, k10, 汕頭話讀本
