襊, tsue7, 褶皺, k10, 考釋
親情, chhin1-chiann6, 親戚, k00, 考釋
詈, li5, 責罵, k00, 考釋
誑, kuang1, 騙, k10, 考釋
諑, tok4, 毀謗, k00, 考釋
諸娘|珠娘, tsur1-nienn5, 女人, k00, 考釋
譗𧫡(U+27AE1), tah8-tih8, 囉嗦, k00, 考釋
赤肉, chhiah4-nek8, 瘦肉, k00, 考釋
跳脫, thiau3-thut4, 脫俗, k00, 考釋
身屍, sin1-si1, 屍體, k00, 考釋
近覷, kurn6-tshur3, 近視, k00, 考釋
過責, kue3-cheh4, 責備, k00, 考釋
適意, sek4-i5, 樂意, k00, 考釋
邋遢, lap4-thap4, 邋遢, k00, 考釋
醪, lo5, 渾濁, k00, 考釋
鉸刀, ka1-to1, 剪刀, k00, 考釋
鋪陳, phou1-tin5, 鋪蓋, k00, 考釋
錯, tshoh4, 嗆, k00, 考釋
門扇後, mng5-sinn3-au6, 門後, k00, 考釋
阿公, a1-kong1, 公公(面稱), k00, 考釋
阿妗, a1-kim6, 舅母, k00, 考釋
阿姨|阿𡟓(U+217D3), a1-ai5, 媽媽, k00, 考釋
阿媽, a1-ma2, 婆婆(面稱), k00, 考釋
阿嬭|阿㜷, a1-ni1, 奶媽(面稱), k10, 考釋
阿舍, a1-sia3, 官少, k20, 考釋
雀暝, chiau2-menn5, 夜盲, k00, 考釋
青盲, chhenn1-menn5, 瞎, k00, 考釋
面䩍(U+4A4D)䩍青, min7-liau1-liau1-chenn1, 臉色蒼白, k00, 考釋
面皮, min7-phue5, 臉皮, k00, 考釋
頭家, thau5-ke1, 老闆, k00, 考釋
頭毛, thau5-mo5, 頭髮, k00, 考釋
頷, am6, 頸, k00, 考釋
頷幋, am6-phuan5, 圍巾, k10, 考釋
額囟, hiah8-sin3, 囟門, k00, 考釋
額頭, hiah8-thau5, 前額, k00, 考釋
食槅, chiah8-keh4, 飯盒, k10, 考釋
食積, chiah8-chek4, 積食, k00, 考釋
食臊, chiah8-tsho1, 吃葷, k00, 考釋
食薰, chiah8-hun1, 抽菸, k00, 考釋
飯床, png7-tshng5, 飯桌, k00, 考釋
飲, am2, 米湯, k00, 考釋
驚, kiann1, 怕, k00, 考釋
骨殖, kuk4-sik8, 屍骨, k00, 考釋
鬃, tsang1, 髮髻, k00, 考釋
黃𦅇(U+26147)瘦㾪, ng5-sng1-sou2-san2, 面黃肌瘦, k10, 考釋
點卯, tiam2-bau2, 點名, k10, 考釋
𠢕(U+20895)|賢, gau5, 能幹, k00, 考釋
𣴨(U+23D28), phinn7, 鼻涕, k00, 考釋
𤞚(U+2479A), siau2, 狂, k00, 考釋
𤞚(U+2479A)狗, siau2-kau2, 狂犬, k00, 考釋
𤷗(U+24DD7)裂, pik4-lih8, 龜裂, k00, 考釋
𩛌(U+296CC)|䭄|嗜, chi3, (貪)吃, k10, 考釋
𩩍籬, phiann1-li5, 脇骨, k00, 考釋
