han,puj,simple_puj,freq,phrase,phrase_puj,phrase_simple_puj
伯,peh,peh4,k00,,,
估,kou,kou1,k00,,,
估,kóu,kou2,,,,
伴,phuãⁿ,phuann6,k10,,,
伶,lêng,leng5,,,,
伸,sin,sin1,k10,,,
伸,tshun,tshun1,,,,
伺,sṳ̃,sur6,,,,
似,sṳ̃,sur6,k10,,,
佃,tõiⁿ,toinn6,,,,
但,tãn,tan6,k00,,,
佇,tiú,tiu2,,,,
佈,pòu,pou3,k00,佈置,pòu-tì,pou3-ti3
佈,pù,pu3,k01,宣佈,suan-pù,suan1-pu3
位,ūi,ui7,k00,,,
低,ti,ti1,k00,,,
住,tiū,tiu7,k10,,,
住,tsũ,tsu6,k00,,,
佐,tsó,tso2,k10,,,
佑,iũ,iu6,k10,,,
佔,chiàm,chiam3,k10,佔領,chiàm-niáⁿ,chiam3-niann2
何,hô,ho5,,,,
佗,thô,tho5,,,,
余,ṳ̂,ur5,k22,,,
佚,i̍t,it8,,,,
佚,thih,thih4,,,,
佛,hu̍t,hut8,k10,佛經,hu̍t-keng,hut8-keng1
作,tsak,tsak4,k00,,,
作,tsoh,tsoh4,k01,,,
佝,ku,ku1,,,,
你,lṳ́,lur2,,,,
佣,iông,iong5,k10,佣金,iông-kim,iong5-kim1
佩,pũe,pue6,,,,
佬,láu,lau2,,,,
佮,kah,kah4,k00,,,
佯,iâng,iang5,,,,
佰,peh,peh4,,,,
佳,kia,kia1,k10,,,
併,pẽng,peng6,k00,合併,ha̍h-pẽng,hah8-peng6
使,sái,sai2,k00,,,
使,sài,sai3,,,,
侄,tie̍t,tiet8,,,,
來,lâi,lai5,k00,,,
侈,chhí,chhi2,,,,
例,lī,li7,k10,,,
侍,sĩ,si6,,,,
侖,lûn,lun5,,,,
侗,thông,thong5,,,,
供,keng,keng1,k10,,,
依,i,i1,k10,,,
侮,bú,bu2,,,,
侯,hôu,hou5,,,,
侵,chhîm,chhim5,k10,,,
侶,lṳ̃,lur6,,,,
便,phiⁿ,phinn1,k02,,,
便,piẽn,pien6,k00,便利,piẽn-lĩ,pien6-li6
係,hĩ,hi6,k00,關係,kuan-hĩ,kuan1-hi6
促,tshok,tshok4,k10,,,
俄,ngô,ngo5,,,,
俊,tsùn,tsun3,k00,,,
俎,tsó,tso2,,,,
俎,tsú,tsu2,,,,
俏,chhiáu,chhiau2,,,,
俐,lĩ,li6,,,,
俐,lī,li7,,,,
俗,so̍k,sok8,,,,
俘,hu,hu1,,,,
保,páu,pau2,,太保,thài-páu,thai3-pau2
保,pó,po2,k00,保護,pó-hũ,po2-hu6
保,pó,po2,k00,保護,pó-hō,po2-ho7
俞,zû,zu5,,,,
俠,hia̍p,hiap8,,,,
信,siàng,siang3,k22,,,
信,sìn,sin3,k00,,,
俬,si,si1,,,,
修,siu,siu1,k00,,,
俯,hú,hu2,,,,
俸,hóng,hong2,,,,
俺,nán,nan2,k00,,,
俾,pí,pi2,,,,
倆,liáng,liang2,,,,
倉,tshang,tshang1,,倉皇,tshang-huâng,tshang1-huang5
倉,tshng,tshng1,k10,倉庫,tshng-khòu,tshng1-khou3
個,kõ,ko6,,,,
倍,pũe,pue6,k00,,,
倏,siap,siap4,,,,
們,mn̂g,mng5,,,,
倒,táu,tau2,k00,倒換,táu-uāⁿ,tau2-uann7
倒,tàu,tau3,,倒不如,tàu-put-zû,tau3-put4-zu5
倒,tó,to2,,拍倒,phah-tó,phah4-to2
倒,tò,to3,,倒茶,tò tê,to3 te5
倔,khut,khut4,,,,
倖,hẽng,heng6,k10,倖存,hẽng-tshûn,heng6-tshun5
倖,hẽng,heng6,k10,僥倖,hiau-hẽng,hiau1-heng6
倘,tháng,thang2,,,,
候,hāu,hau7,,,,
倚,í,i2,,,,
倚,uá,ua2,,,,
借,chieh,chieh4,k00,借勢,chieh-sì,chieh4-si3
借,chieh,chieh4,k00,借用,chieh-ēng,chieh4-eng7
倡,chhiàng,chhiang3,k10,,,
倦,kuãn,kuan6,,,,
倪,gôi,goi5,,,,
倪,ngî,ngi5,,,,
倫,lûn,lun5,,,,
值,ta̍t,tat8,k00,,,
假,ké,ke2,k01,放假,pàng-ké,pang3-ke2
假,kiá,kia2,k00,假如,kiá-zû,kia2-zu5
偉,úi,ui2,k10,,,
偏,phien,phien1,k10,,,
做,tsò,tso3,k00,,,
停,thêng,theng5,k00,,,
健,kiāⁿ,kiann7,,,,
健,kiẽn,kien6,k10,,,
偪,pek,pek4,,偪側,pek-chhek,pek4-chhek4
側,chhek,chhek4,k00,,,
偵,cheng,cheng1,,,,
偶,ngóu,ngou2,k00,,,
偷,thau,thau1,k10,,,
傀,kúi,kui2,,,,
傅,hù,hu3,,,,
傅,pòu,pou3,,,,
傍,phâng,phang5,k00,,,
傑,kie̍t,kiet8,k10,,,
傘,suàⁿ,suann3,k00,,,
備,pĩ,pi6,k10,,,
傢,ke,ke1,k10,傢俬,ke-si,ke1-si1
傣,thài,thai3,,,,
催,tshui,tshui1,,,,
傭,iông,iong5,,傭人,iông-nâng,iong5-nang5
傲,ngãu,ngau6,k10,,,
傳,thuân,thuan5,k10,傳授,thuân-siũ,thuan5-siu6
傳,tn̄g,tng7,,古傳,kóu-tn̄g,kou2-tng7
債,chè,che3,k10,,,
傷,sieⁿ,sienn1,k00,,,
傻,sã,sa6,,,,
傾,khuan,khuan1,,,,
傾,khuán,khuan2,,,,
僅,kṳ́n,kurn2,,,,
像,chhiẽⁿ,chhienn6,k00,,,
像,siãng,siang6,k11,,,
像,sièⁿ,sienn3,k10,,,
僑,khiâu,khiau5,,,,
僕,po̍k,pok8,,奴僕,nôu-po̍k,nou5-pok8
僕,po̍k,pok8,,風塵僕僕,huang-tîn-po̍k-po̍k,huang1-tin5-pok8-pok8
僚,liâu,liau5,,,,
僞,ngũiⁿ,nguinn6,,,,
僥,hiau,hiau1,,,,
僧,cheng,cheng1,,,,
僱,kòu,kou3,,,,
僳,chhek,chhek4,,,,
僵,kiang,kiang1,,僵硬,kiang-ngẽⁿ,kiang1-nge6
價,kài,kai3,,,,
價,kè,ke3,k10,,,
僻,phiah,phiah4,,,,
僻,phia̍h,phiah8,,,,
儀,ngî,ngi5,k10,,,
儂,nâng,nang5,k00,,,
億,e̍k,ek8,k00,,,
儈,kuài,kuai3,,,,
儉,khiãm,khiam6,,,,
儎,tsāi,tsai7,,,,
儒,zû,zu5,,,,
儔,thiû,thiu5,,,,
儘,chĩn,chin6,k10,儘可能,chĩn khó-lêng,chin6 kho2-leng5
償,siêⁿ,sienn5,,,,
儡,lúi,lui2,,,,
優,iu,iu1,k00,,,
儲,thû,thu5,k10,,,
兀,ut,ut4,,,,
允,zún,zun2,k00,,,
元,ngân,ngan5,,,,
元,nguân,nguan5,k00,,,
元,uân,uan5,,,,
兄,hiaⁿ,hiann1,k00,,,
充,tshong,tshong1,k00,,,
兆,tiãu,tiau6,k10,,,
兇,hiong,hiong1,k10,兇手,hiong-chhiú,hiong1-chhiu2
先,sin,sin1,,,,
先,soiⁿ,soinn1,k00,,,
光,kng,kng1,k01,,,
光,kuang,kuang1,k00,,,
克,khiok,khiok4,k00,克服,khiok-ho̍k,khiok4-hok8
克,khiok,khiok4,k00,千克,tshoiⁿ-khiok,tshoinn1-khiok4
兌,tũe,tue6,,,,
免,mién,mien2,k00,,,
免,mín,min2,,,,
兒,jî,ji5,k00,,,
兔,thòu,thou3,,,,
兜,tau,tau1,,,,
兢,keng,keng1,,,,
兢,kheng,kheng1,,,,
入,ji̍p,jip8,k00,,,
內,lãi,lai6,k00,,,
全,tshuân,tshuan5,k00,,,
兩,liáng,liang2,k00,,,
兩,nõ,no6,k01,,,
八,pak,pak4,,,,
八,poih,poih4,k00,,,
公,kang,kang1,,,,
公,kong,kong1,k00,,,
六,la̍k,lak8,k00,,,
六,liû,liu5,,,,
兮,hi,hi1,,,,
共,kāng,kang7,k00,,,
共,kiong,kiong1,,,,
兵,piaⁿ,piann1,k00,,,
其,khî,khi5,k00,,,
具,kũ,ku6,k00,,,
典,tién,tien2,k10,,,
兼,kiam,kiam1,k00,,,
冀,kĩ,ki6,,,,
冇,phàⁿ,phann3,k10,,,
冉,jiám,jiam2,,,,
冊,chheh,chheh4,k10,,,
再,tsài,tsai3,k00,,,
冒,mãu,mau6,k10,,,
冕,mién,mien2,,,,
冗,zóng,zong2,,,,
冠,kuan,kuan1,,,,
冠,kuàn,kuan3,k10,,,
冤,uan,uan1,k10,,,
冥,mê,me5,,,,
冥,mêng,meng5,,,,
冪,mi̍t,mit8,,,,
冬,tang,tang1,k00,,,
冬,tong,tong1,,,,
冰,piaⁿ,piann1,k00,,,
冲,tshong,tshong1,,,,
冶,iá,ia2,,,,
冷,léng,leng2,,,,
冷,né,ne2,,,,
凄,chhi,chhi1,,凄凉,chhi-liâng,chhi1-liang5
准,tsún,tsun2,k11,准許,tsún-hṳ́,tsun2-hur2
凉,liâng,liang5,,食凉,chia̍h-liâng,chiah8-liang5
凊,chhìn,chhin3,k10,,,
凋,tiau,tiau1,,,,
凌,lêng,leng5,,,,
凍,tàng,tang3,,,,
凍,tòng,tong3,k00,,,
凜,lím,lim2,,,,
凝,kṳ̂n,kurn5,,油凝凝,iû-kṳ̂n-kṳ̂n,iu5-kurn5-kurn5
凝,ngân,ngan5,k11,凝天時,ngân-thiⁿ-sî,ngan5-thinn1-si5
凝,ngêng,ngeng5,k10,凝固,ngêng-kù,ngeng5-ku3
几,kí,ki2,k10,茶几,tê-kí,te5-ki2
凡,huâm,huam5,k00,,,
凡,huãm,huam6,,,,
凰,huâng,huang5,,,,
凰,uâng,uang5,,,,
凱,khái,khai2,,,,
凳,tèng,teng3,,,,
凶,hiong,hiong1,k11,凶惡,hiong-ak,hiong1-ak4
凸,phok,phok4,,,,
凸,thóu,thou2,,出,thóu-tshut,thou2-tshut4
凸,tu̍t,tut8,,,,
凹,au,au1,,,,
出,tshut,tshut4,k00,,,
函,hâm,ham5,,,,
刀,to,to1,k00,,,
刁,tiau,tiau1,,,,
刃,jím,jim2,,,,
分,hun,hun1,k00,,,
分,hūn,hun7,k10,,,
分,pun,pun1,k02,,,
切,chhiet,chhiet4,k00,,,
刊,khan,khan1,k10,,,
刊,khân,khan5,,,,
刑,hêng,heng5,,,,
划,huâ,hua5,k10,划算,huâ-sǹg,hua5-sng3
划,kò,ko3,,,,
列,lie̍t,liet8,k00,,,
初,chhiu,chhiu1,k10,初九,chhiu-káu,chhiu1-kau2
初,tsho,tsho1,k00,當初,tng-tsho,tng1-tsho1
刣,thâi,thai5,k10,,,
判,phuàn,phuan3,k00,,,
判,phuàⁿ,phuann3,,,,
別,pat,pat4,k02,,,
別,pa̍t,pat8,k01,別人,pa̍k-nâng,pak8-nang5
別,pie̍t,piet8,k00,分別,hun-pie̍t,hun1-piet8
刨,phau,phau1,,,,
刨,phâu,phau5,,,,
利,lĩ,li6,k00,,,
刪,san,san1,k00,,,
刮,kuat,kuat4,,,,
刮,kueh,kueh4,,,,
到,kàu,kau3,k00,,,
制,chì,chi3,k00,制度,chì-tōu,chi3-tou7
刷,sueh,sueh4,k10,,,
券,kuàn,kuan3,,,,
刺,chhì,chhi3,,魚刺,hṳ̂-chhì,hur5-chhi3
刺,chhiah,chhiah4,,刺字,chhiah-jī,chhiah4-ji7
刺,tshǹg,tshng3,,諷刺,hòng-tshǹg,hong3-tshng3
刻,khap,khap4,,,,
刻,khek,khek4,k00,,,
剁,tô,to5,,,,
剃,thì,thi3,,,,
則,chek,chek4,k00,,,
削,siah,siah4,,,,
剋,khiok,khiok4,k10,剋扣,khiok-khàu,khiok4-khau3
剋,khiok,khiok4,k10,相剋,siang-khiok,siang1-khiok4
剌,tshǹg,tshng3,,剌空,tshǹg-khang,tshng3-khang1
前,tsôiⁿ,tsoinn5,k00,,,
剎,sak,sak4,,,,
剎,sa̍p,sap8,,,,
剔,thek,thek4,,,,
剖,phóu,phou2,,,,
剛,kang,kang1,k00,,,
剜,uán,uan2,,,,
剝,pak,pak4,,,,
剩,sīn,sin7,,,,
剪,chièn,chien3,,,,
剮,kuá,kua2,,,,
副,hù,hu3,,,,
割,kuah,kuah4,,,,
創,tshàng,tshang3,,,,
剿,tshau,tshau1,,,,
劃,u̍eh,ueh8,k10,計劃,kòi-u̍eh,koi3-ueh8
劇,kia̍h,kiah8,k00,,,
劈,phek,phek4,,,,
劉,lâu,lau5,k10,,,
劊,kuài,kuai3,,,,
劍,kiàm,kiam3,,,,
劑,chì,chi3,,,,
力,la̍t,lat8,k00,,,
功,kang,kang1,k10,,,
功,kong,kong1,k00,,,
加,ke,ke1,k00,,,
加,kia,kia1,k10,,,
劣,luat,luat4,k10,,,
助,tsõ,tso6,k00,,,
努,nò,no3,k00,,,
劫,kiap,kiap4,,,,
勁,kèⁿ,kenn3,,,,
勃,pua̍t,puat8,,,,
勇,ióng,iong2,k10,,,
勉,mién,mien2,k10,,,
勒,le̍k,lek8,,,,
動,tãng,tang6,,,,
動,thãng,thang6,,,,
動,tõng,tong6,k00,,,
勘,kham,kham1,,,,
務,bũ,bu6,k10,,,
勝,seng,seng1,,,,
勝,sèng,seng3,k10,,,
勞,lâu,lau5,k10,,,
勞,lṳ̂,lur5,k11,,,
募,mõ,mo6,,,,
勢,sì,si3,k10,,,
勤,khṳ̂n,khurn5,k10,,,
勥,khiàng,khiang3,k10,,,
勳,hṳn,hurn1,,,,
勵,lĩ,li6,k10,,,
勸,khǹg,khng3,k00,,,
勺,chiak,chiak4,,,,
勺,sie̍h,sieh8,,,,
勻,ûn,un5,k10,,,
勼,kiu,kiu1,,,,
勾,kau,kau1,k10,,,
勿,but,but4,,,,
勿,mài,mai3,k00,,,
勿,mài,mai3,,,,
包,pau,pau1,k10,,,
匆,tshong,tshong1,k10,,,
匈,heng,heng1,,,,
匈,hiong,hiong1,,,,
匏,pû,pu5,,匏桸,pû-hia,pu5-hia1
匕,pì,pi3,,,,
化,hue,hue1,,,,
化,hùe,hue3,k00,,,
北,pak,pak4,k00,,,
匙,sî,si5,,,,
匝,tsap,tsap4,,,,
匠,chhiēⁿ,chhienn7,,,,
匠,chiãng,chiang6,,,,
匡,khang,khang1,,,,
匡,khuang,khuang1,,,,
匣,a̍p,ap8,,,,
匪,húiⁿ,huinn2,,,,
匯,hũe,hue6,k10,匯款,hũe-khuán,hue6-khuan2
匹,phit,phit4,k00,匹配,phit-phùe,phit4-phue3
匾,pién,pien2,,,,
匾,pín,pin2,,,,
匿,ne̍k,nek8,,,,
區,au,au1,,,,
區,khu,khu1,k00,,,
十,tsa̍p,tsap8,k00,,,
千,tshoiⁿ,tshoinn1,k00,千萬,tshoiⁿ-buān,tshoinn1-buan7
升,seng,seng1,k00,公升,kong-seng,kong1-seng1
升,seng,seng1,k00,升級,seng-khip,seng1-khip4
午,ngóu,ngou2,k10,,,
卉,húi,hui2,,,,
半,puàⁿ,puann3,k00,,,
卑,pui,pui1,,,,
卒,tsut,tsut4,,,,
卓,toh,toh4,k10,,,
協,hia̍p,hiap8,k00,,,
南,lâm,lam5,k00,,,
南,na,na1,,,,
南,nâm,nam5,,,,
博,phak,phak4,k00,,,
卜,pok,pok4,,卜卦,pok-khùe,pok4-khue3
卞,piẽn,pien6,,,,
占,chiam,chiam1,,占卜,chiam-pok,chiam1-pok4
卡,khá,kha2,k00,,,
卦,khùe,khue3,,,,
卯,báu,bau2,,,,
印,ìn,in3,k10,,,
危,kûiⁿ,kuinn5,,,,
危,ngûiⁿ,nguinn5,,,,
即,chiet,chiet4,k00,,,
卵,lãn,lan6,,,,
卵,nñg,nng6,k00,,,
卷,kńg,kng2,k10,試卷,chhì-kńg,chhi3-kng2
卸,sià,sia3,,,,
卺,kńg,kng2,,合卺,ha̍h-kńg,hah8-kng2
卻,khiak,khiak4,,,,
卿,kheng,kheng1,,,,
厄,eh,eh4,,,,
厘,lî,li5,,峇厘,bā-lî,ba7-li5
厚,kãu,kau6,k10,,,
厝,tshù,tshu3,k00,,,
原,nguân,nguan5,k00,,,
厥,khiak,khiak4,,刁厥,tiau-khiak,tiau1-khiak4
厭,iàm,iam3,,,,
厲,lĩ,li6,k00,,,
去,khṳ̀,khur3,k00,,,
參,siam,siam1,,人參,jîn-siam,jin5-siam1
參,tsham,tsham1,k00,參與,tsham-ṳ́,tsham1-ur2
叄,saⁿ,sann1,,,,
